measure,location,sex,age,cause,year,death_rate_per_100k,Code,clean_fuel_access_pct,AveragScore,SafetySecurity,PersonelFreedom,Governance,SocialCapital,InvestmentEnvironment,EnterpriseConditions,MarketAccessInfrastructure,EconomicQuality,LivingConditions,Health,Education,NaturalEnvironment,avg_temp_1991_2020,Continent,temp_category
Deaths,Equatorial Guinea,Female,All ages,Poisoning by carbon monoxide,2021,0.0009149893916474,GNQ,22.8,,,,,,,,,,,,,,24.66,Africa,Warmer
Deaths,Equatorial Guinea,Male,<1 year,Poisoning by carbon monoxide,2021,0.4140616908439198,GNQ,22.8,,,,,,,,,,,,,,24.66,Africa,Warmer
Deaths,Equatorial Guinea,Female,<1 year,Poisoning by carbon monoxide,2021,0.0028545549156852,GNQ,22.8,,,,,,,,,,,,,,24.66,Africa,Warmer
Deaths,Togo,Male,All ages,Poisoning by carbon monoxide,2022,0.1059820578471245,TGO,12.3,,,,,,,,,,,,,,27.33,Africa,Warmer
Deaths,Togo,Female,All ages,Poisoning by carbon monoxide,2022,0.0001392264301338,TGO,12.3,,,,,,,,,,,,,,27.33,Africa,Warmer
Deaths,Togo,Male,<1 year,Poisoning by carbon monoxide,2022,0.0284200808761099,TGO,12.3,,,,,,,,,,,,,,27.33,Africa,Warmer
Deaths,Togo,Female,<1 year,Poisoning by carbon monoxide,2022,0.0002744408036474,TGO,12.3,,,,,,,,,,,,,,27.33,Africa,Warmer
Deaths,Norway,Male,All ages,Poisoning by carbon monoxide,2019,0.139987927508394,NOR,100.0,,,,,,,,,,,,,,2.21,Europe,Colder
Deaths,Norway,Female,All ages,Poisoning by carbon monoxide,2019,0.0412259520604937,NOR,100.0,,,,,,,,,,,,,,2.21,Europe,Colder
Deaths,Norway,Male,<1 year,Poisoning by carbon monoxide,2019,0.103465334405396,NOR,100.0,,,,,,,,,,,,,,2.21,Europe,Colder
Deaths,Norway,Female,<1 year,Poisoning by carbon monoxide,2019,0.0345668803779118,NOR,100.0,,,,,,,,,,,,,,2.21,Europe,Colder
Deaths,United Kingdom,Male,All ages,Poisoning by carbon monoxide,2020,0.1143070743580284,GBR,100.0,,,,,,,,,,,,,,9.24,Europe,Colder
Deaths,United Kingdom,Female,All ages,Poisoning by carbon monoxide,2020,0.0579040485870729,GBR,100.0,,,,,,,,,,,,,,9.24,Europe,Colder
Deaths,United Kingdom,Male,<1 year,Poisoning by carbon monoxide,2020,0.0172823931432167,GBR,100.0,,,,,,,,,,,,,,9.24,Europe,Colder
Deaths,United Kingdom,Female,<1 year,Poisoning by carbon monoxide,2020,0.0128883682888387,GBR,100.0,,,,,,,,,,,,,,9.24,Europe,Colder
Deaths,Ethiopia,Male,All ages,Poisoning by carbon monoxide,2022,0.7104414620711847,ETH,6.9,,,,,,,,,,,,,,23.36,Africa,Colder
Deaths,Ethiopia,Female,All ages,Poisoning by carbon monoxide,2022,0.0156699465233159,ETH,6.9,,,,,,,,,,,,,,23.36,Africa,Colder
Deaths,Ethiopia,Male,<1 year,Poisoning by carbon monoxide,2022,1.4812245958438068,ETH,6.9,,,,,,,,,,,,,,23.36,Africa,Colder
Deaths,Ethiopia,Female,<1 year,Poisoning by carbon monoxide,2022,0.003280995070153,ETH,6.9,,,,,,,,,,,,,,23.36,Africa,Colder
Deaths,Zimbabwe,Male,All ages,Poisoning by carbon monoxide,2021,0.0755726804298773,ZWE,30.3,,,,,,,,,,,,,,21.9,Africa,Colder
Deaths,Zimbabwe,Female,All ages,Poisoning by carbon monoxide,2021,0.0005127820274379,ZWE,30.3,,,,,,,,,,,,,,21.9,Africa,Colder
Deaths,Zimbabwe,Male,<1 year,Poisoning by carbon monoxide,2021,0.6209639299993249,ZWE,30.3,,,,,,,,,,,,,,21.9,Africa,Colder
Deaths,Zimbabwe,Female,<1 year,Poisoning by carbon monoxide,2021,0.002938780150853,ZWE,30.3,,,,,,,,,,,,,,21.9,Africa,Colder
Deaths,Gambia,Male,All ages,Poisoning by carbon monoxide,2020,0.0765596444696862,GMB,1.7,,,,,,,,,,,,,,28.38,Africa,Warmer
Deaths,Gambia,Female,All ages,Poisoning by carbon monoxide,2020,0.0001062743197763,GMB,1.7,,,,,,,,,,,,,,28.38,Africa,Warmer
Deaths,Gambia,Male,<1 year,Poisoning by carbon monoxide,2020,0.0502299097399975,GMB,1.7,,,,,,,,,,,,,,28.38,Africa,Warmer
Deaths,Gambia,Female,<1 year,Poisoning by carbon monoxide,2020,0.0005834435088937,GMB,1.7,,,,,,,,,,,,,,28.38,Africa,Warmer
Deaths,Japan,Male,All ages,Poisoning by carbon monoxide,2019,0.226899954920923,JPN,100.0,,,,,,,,,,,,,,11.78,Asia,Colder
